Downtime_ID,Plant,Line,Start_Time,End_Time,Duration_Min,Reason_Code,Reason_Description,Technician,Repair_Time_Min,Failure_Type
DT-2025-001,PLT-01,LINE-A,2025-01-06 09:15:00,2025-01-06 09:45:00,30,RC-001,Mechanical Failure,John Smith,25,Breakdown
DT-2025-002,PLT-01,LINE-A,2025-01-06 14:30:00,2025-01-06 14:50:00,20,RC-002,Electrical Issue,Mike Johnson,18,Breakdown
DT-2025-003,PLT-01,LINE-B,2025-01-06 11:00:00,2025-01-06 11:30:00,30,RC-003,Material Shortage,N/A,0,Planned
DT-2025-004,PLT-01,LINE-A,2025-01-07 08:30:00,2025-01-07 09:00:00,30,RC-004,Quality Check,N/A,0,Planned
DT-2025-005,PLT-01,LINE-B,2025-01-07 13:45:00,2025-01-07 14:30:00,45,RC-001,Mechanical Failure,John Smith,40,Breakdown
DT-2025-006,PLT-02,LINE-C,2025-01-07 10:20:00,2025-01-07 10:45:00,25,RC-005,Sensor Malfunction,Sarah Davis,22,Breakdown
DT-2025-007,PLT-01,LINE-A,2025-01-08 15:00:00,2025-01-08 15:35:00,35,RC-002,Electrical Issue,Mike Johnson,30,Breakdown
DT-2025-008,PLT-01,LINE-B,2025-01-08 09:30:00,2025-01-08 10:00:00,30,RC-006,Tooling Change,N/A,0,Planned
DT-2025-009,PLT-02,LINE-C,2025-01-08 14:15:00,2025-01-08 15:00:00,45,RC-001,Mechanical Failure,Tom Wilson,38,Breakdown
DT-2025-010,PLT-01,LINE-A,2025-01-09 10:45:00,2025-01-09 11:20:00,35,RC-007,PLC Error,Mike Johnson,30,Breakdown
DT-2025-011,PLT-01,LINE-B,2025-01-09 16:00:00,2025-01-09 16:25:00,25,RC-005,Sensor Malfunction,John Smith,20,Breakdown
DT-2025-012,PLT-02,LINE-C,2025-01-09 11:30:00,2025-01-09 12:00:00,30,RC-003,Material Shortage,N/A,0,Planned
DT-2025-013,PLT-01,LINE-A,2025-01-10 08:00:00,2025-01-10 08:30:00,30,RC-008,Preventive Maintenance,N/A,0,Planned
DT-2025-014,PLT-01,LINE-B,2025-01-10 13:20:00,2025-01-10 14:00:00,40,RC-001,Mechanical Failure,Sarah Davis,35,Breakdown
DT-2025-015,PLT-02,LINE-D,2025-01-10 15:45:00,2025-01-10 16:20:00,35,RC-002,Electrical Issue,Tom Wilson,30,Breakdown
DT-2025-016,PLT-01,LINE-A,2025-01-13 09:30:00,2025-01-13 10:15:00,45,RC-009,Hydraulic Leak,John Smith,40,Breakdown
DT-2025-017,PLT-01,LINE-B,2025-01-13 14:00:00,2025-01-13 14:30:00,30,RC-006,Tooling Change,N/A,0,Planned
