Supplier_ID,Supplier_Name,Material_Code,PO_Number,Order_Date,Expected_Date,Actual_Delivery_Date,Quantity_Ordered,Quantity_Delivered,Quality_Score,Country
SUP-001,Alpha Components GmbH,MAT-1001,PO-2025-0001,2025-01-02,2025-01-06,2025-01-06,1000,1000,98.5,Germany
SUP-002,Beta Manufacturing Ltd,MAT-1002,PO-2025-0002,2025-01-02,2025-01-07,2025-01-08,500,495,97.2,UK
SUP-003,Gamma Electronics SpA,MAT-1003,PO-2025-0003,2025-01-03,2025-01-08,2025-01-07,800,800,99.1,Italy
SUP-001,Alpha Components GmbH,MAT-1001,PO-2025-0004,2025-01-05,2025-01-09,2025-01-09,1200,1200,98.8,Germany
SUP-004,Delta Precision Inc,MAT-1004,PO-2025-0005,2025-01-06,2025-01-10,2025-01-12,600,580,95.5,USA
SUP-002,Beta Manufacturing Ltd,MAT-1002,PO-2025-0006,2025-01-07,2025-01-11,2025-01-11,450,450,98.0,UK
SUP-005,Epsilon Parts SA,MAT-1005,PO-2025-0007,2025-01-08,2025-01-12,2025-01-14,700,690,96.3,France
SUP-003,Gamma Electronics SpA,MAT-1003,PO-2025-0008,2025-01-09,2025-01-13,2025-01-13,900,900,99.0,Italy
SUP-001,Alpha Components GmbH,MAT-1001,PO-2025-0009,2025-01-10,2025-01-14,2025-01-14,1100,1100,98.7,Germany
SUP-004,Delta Precision Inc,MAT-1004,PO-2025-0010,2025-01-10,2025-01-15,2025-01-17,550,540,94.8,USA
SUP-006,Zeta Industrial AG,MAT-1006,PO-2025-0011,2025-01-11,2025-01-15,2025-01-15,400,400,99.2,Switzerland
SUP-002,Beta Manufacturing Ltd,MAT-1002,PO-2025-0012,2025-01-12,2025-01-16,2025-01-16,480,475,97.5,UK
SUP-005,Epsilon Parts SA,MAT-1005,PO-2025-0013,2025-01-13,2025-01-17,2025-01-19,650,630,95.0,France
SUP-003,Gamma Electronics SpA,MAT-1003,PO-2025-0014,2025-01-14,2025-01-18,2025-01-18,850,850,99.3,Italy
SUP-001,Alpha Components GmbH,MAT-1001,PO-2025-0015,2025-01-14,2025-01-18,2025-01-18,1050,1050,98.9,Germany
SUP-006,Zeta Industrial AG,MAT-1006,PO-2025-0016,2025-01-15,2025-01-19,2025-01-20,380,375,98.5,Switzerland
SUP-004,Delta Precision Inc,MAT-1004,PO-2025-0017,2025-01-16,2025-01-20,2025-01-23,620,600,93.5,USA
SUP-002,Beta Manufacturing Ltd,MAT-1002,PO-2025-0018,2025-01-17,2025-01-21,2025-01-21,520,520,98.2,UK
SUP-005,Epsilon Parts SA,MAT-1005,PO-2025-0019,2025-01-18,2025-01-22,2025-01-24,580,560,94.2,France
SUP-003,Gamma Electronics SpA,MAT-1003,PO-2025-0020,2025-01-19,2025-01-23,2025-01-23,920,920,99.5,Italy
