Order_ID,Plant,Line,Product_Code,Order_Date,Due_Date,Quantity_Ordered,Quantity_Produced,Quantity_Good,Cycle_Time_Sec,Planned_Time_Min,Actual_Time_Min,Status
ORD-2025-001,PLT-01,LINE-A,PRD-1001,2025-01-06,2025-01-06,500,498,485,12,600,590,Completed
ORD-2025-002,PLT-01,LINE-A,PRD-1002,2025-01-06,2025-01-06,300,300,295,15,450,440,Completed
ORD-2025-003,PLT-01,LINE-B,PRD-1003,2025-01-06,2025-01-07,800,795,780,10,800,820,Completed
ORD-2025-004,PLT-01,LINE-A,PRD-1001,2025-01-07,2025-01-07,450,448,440,12,540,535,Completed
ORD-2025-005,PLT-01,LINE-B,PRD-1004,2025-01-07,2025-01-07,600,590,575,14,840,860,Completed
ORD-2025-006,PLT-02,LINE-C,PRD-2001,2025-01-07,2025-01-08,400,398,390,18,720,710,Completed
ORD-2025-007,PLT-01,LINE-A,PRD-1002,2025-01-08,2025-01-08,350,345,338,15,525,540,Completed
ORD-2025-008,PLT-01,LINE-B,PRD-1003,2025-01-08,2025-01-08,700,695,680,10,700,720,Completed
ORD-2025-009,PLT-02,LINE-C,PRD-2002,2025-01-08,2025-01-09,550,540,525,16,880,900,Completed
ORD-2025-010,PLT-01,LINE-A,PRD-1001,2025-01-09,2025-01-09,480,475,465,12,576,590,Completed
ORD-2025-011,PLT-01,LINE-B,PRD-1004,2025-01-09,2025-01-09,650,640,620,14,910,940,Completed
ORD-2025-012,PLT-02,LINE-C,PRD-2001,2025-01-09,2025-01-10,420,415,405,18,756,780,Completed
ORD-2025-013,PLT-01,LINE-A,PRD-1002,2025-01-10,2025-01-10,380,375,368,15,570,585,Completed
ORD-2025-014,PLT-01,LINE-B,PRD-1003,2025-01-10,2025-01-10,750,745,730,10,750,770,Completed
ORD-2025-015,PLT-02,LINE-D,PRD-2003,2025-01-10,2025-01-11,300,295,288,20,600,620,Completed
ORD-2025-016,PLT-01,LINE-A,PRD-1001,2025-01-13,2025-01-13,520,515,500,12,624,640,Completed
ORD-2025-017,PLT-01,LINE-B,PRD-1004,2025-01-13,2025-01-13,580,570,555,14,812,840,Completed
ORD-2025-018,PLT-02,LINE-C,PRD-2002,2025-01-13,2025-01-14,480,470,458,16,768,800,Completed
ORD-2025-019,PLT-01,LINE-A,PRD-1002,2025-01-14,2025-01-14,400,395,385,15,600,620,Completed
ORD-2025-020,PLT-01,LINE-B,PRD-1003,2025-01-14,2025-01-14,680,675,660,10,680,700,Completed
ORD-2025-021,PLT-02,LINE-D,PRD-2003,2025-01-14,2025-01-15,350,340,330,20,700,730,Completed
ORD-2025-022,PLT-01,LINE-A,PRD-1001,2025-01-15,2025-01-15,490,485,472,12,588,605,Completed
ORD-2025-023,PLT-01,LINE-B,PRD-1004,2025-01-15,2025-01-15,620,610,595,14,868,890,Completed
ORD-2025-024,PLT-02,LINE-C,PRD-2001,2025-01-15,2025-01-16,440,435,425,18,792,810,Completed
ORD-2025-025,PLT-01,LINE-A,PRD-1002,2025-01-16,2025-01-16,360,355,345,15,540,560,Completed
ORD-2025-026,PLT-01,LINE-B,PRD-1003,2025-01-16,2025-01-16,720,710,695,10,720,745,Completed
ORD-2025-027,PLT-02,LINE-D,PRD-2002,2025-01-16,2025-01-17,520,510,495,16,832,860,Completed
ORD-2025-028,PLT-01,LINE-A,PRD-1001,2025-01-17,2025-01-17,470,465,452,12,564,580,Completed
ORD-2025-029,PLT-01,LINE-B,PRD-1004,2025-01-17,2025-01-17,590,580,565,14,826,850,Completed
ORD-2025-030,PLT-02,LINE-C,PRD-2003,2025-01-17,2025-01-18,380,370,358,20,760,790,Completed
ORD-2025-031,PLT-01,LINE-A,PRD-1002,2025-01-20,2025-01-20,410,405,395,15,615,635,Completed
ORD-2025-032,PLT-01,LINE-B,PRD-1003,2025-01-20,2025-01-20,690,680,665,10,690,715,Completed
ORD-2025-033,PLT-02,LINE-C,PRD-2001,2025-01-20,2025-01-21,460,450,438,18,828,855,Completed
ORD-2025-034,PLT-01,LINE-A,PRD-1001,2025-01-21,2025-01-21,500,495,482,12,600,618,Completed
ORD-2025-035,PLT-01,LINE-B,PRD-1004,2025-01-21,2025-01-21,640,630,612,14,896,925,Completed
ORD-2025-036,PLT-02,LINE-D,PRD-2002,2025-01-21,2025-01-22,490,480,465,16,784,810,Completed
ORD-2025-037,PLT-01,LINE-A,PRD-1002,2025-01-22,2025-01-22,370,,360,15,555,575,In Progress
ORD-2025-038,PLT-01,LINE-B,PRD-1003,2025-01-22,2025-01-22,710,700,685,10,710,735,Completed
ORD-2025-039,PLT-02,LINE-C,PRD-2003,2025-01-22,2025-01-23,340,330,320,20,680,710,Completed
ORD-2025-040,PLT-01,LINE-A,PRD-1001,2025-01-23,2025-01-23,480,475,462,12,576,595,Completed
ORD-2025-041,PLT-01,LINE-B,PRD-1003,2025-01-23,2025-01-24,800,790,770,-10,800,830,Completed
ORD-2025-042,PLT-02,LINE-D,PRD-2001,2025-01-23,2025-01-24,430,420,408,18,774,800,Completed
